Start,End,W
Люблинско-Дмитровская_Чкаловская,МЦД-2_Курская,1
Люблинско-Дмитровская_Чкаловская,Люблинско-Дмитровская_Сретенский-бульвар,10
Люблинско-Дмитровская_Сретенский-бульвар,Калужско-Рижская_Тургеневская,1
Люблинско-Дмитровская_Сретенский-бульвар,Сокольническая_Чистые-пруды,1
Люблинско-Дмитровская_Сретенский-бульвар,Люблинско-Дмитровская_Трубная,10
Люблинско-Дмитровская_Трубная,Серпуховско-Тимирязевская_Цветной-бульвар,1
Люблинско-Дмитровская_Трубная,Люблинско-Дмитровская_Достоевская,10
Люблинско-Дмитровская_Достоевская,Люблинско-Дмитровская_Марьина-роща,10
Люблинско-Дмитровская_Марьина-роща,Люблинско-Дмитровская_Бутырская,10
Люблинско-Дмитровская_Бутырская,Люблинско-Дмитровская_Фонвизинская,10
Люблинско-Дмитровская_Фонвизинская,Люблинско-Дмитровская_Петровско-Разумовская,10
Люблинско-Дмитровская_Петровско-Разумовская,Серпуховско-Тимирязевская_Петровско-Разумовская,1
Люблинско-Дмитровская_Петровско-Разумовская,Люблинско-Дмитровская_Окружная,10
Люблинско-Дмитровская_Окружная,Центральное-Кольцо_Окружная,1
Люблинско-Дмитровская_Окружная,МЦД-1_Окружная,1
Люблинско-Дмитровская_Окружная,Люблинско-Дмитровская_Верхние-Лихоборы,10
Люблинско-Дмитровская_Верхние-Лихоборы,Люблинско-Дмитровская_Селигерская,10
Большая-Кольцевая-Линия_Савёловская,Серпуховско-Тимирязевская_Савеловская,1
Большая-Кольцевая-Линия_Савёловская,МЦД-1_Савёловская,1
Большая-Кольцевая-Линия_Савёловская,Большая-Кольцевая-Линия_Петровский-парк,10
Большая-Кольцевая-Линия_Петровский-парк,Замоскворецкая_Динамо,1
Большая-Кольцевая-Линия_Петровский-парк,Большая-Кольцевая-Линия_ЦСКА,10
Большая-Кольцевая-Линия_ЦСКА,Большая-Кольцевая-Линия_Хорошёвская,10
Большая-Кольцевая-Линия_Хорошёвская,Центральное-Кольцо_Хорошёво,1
Большая-Кольцевая-Линия_Хорошёвская,Таганско-Краснопресненская_Полежаевская,1
Большая-Кольцевая-Линия_Хорошёвская,Большая-Кольцевая-Линия_Шелепиха,10
Большая-Кольцевая-Линия_Шелепиха,Центральное-Кольцо_Шелепиха,1
Большая-Кольцевая-Линия_Шелепиха,МЦД-1_Тестовская,1
Большая-Кольцевая-Линия_Шелепиха,Большая-Кольцевая-Линия_Деловой-центр,10
Большая-Кольцевая-Линия_Деловой-центр,Калининско-Солнцевская_Деловой-центр,1
Большая-Кольцевая-Линия_Деловой-центр,Филевская_Выставочная,1
Большая-Кольцевая-Линия_Деловой-центр,МЦД-1_Тестовская,1
Большая-Кольцевая-Линия_Деловой-центр,Большая-Кольцевая-Линия_Народное-Ополчение,10
Большая-Кольцевая-Линия_Народное-Ополчение,Большая-Кольцевая-Линия_Мнёвники,10
Каховская_Каховская,Каховская_Варшавская,10
Каховская_Варшавская,Каховская_Каширская,10
Каховская_Каширская,Замоскворецкая_Каширская,1
Бутовская_Битцевский-парк,Калужско-Рижская_Новоясеневская,1
Бутовская_Битцевский-парк,Бутовская_Лесопарковая,10
Бутовская_Лесопарковая,Бутовская_Улица-Старокачаловская,10
Бутовская_Улица-Старокачаловская,Серпуховско-Тимирязевская_Бульвар-Дмитрия-Донского,1
Бутовская_Улица-Старокачаловская,Бутовская_Улица-Скобелевская,10
Бутовская_Улица-Скобелевская,Бутовская_Бульвар-адмирала-Ушакова,10
Бутовская_Бульвар-адмирала-Ушакова,Бутовская_Улица-Горчакова,10
